기준_년분기_코드,상권_구분_코드,상권_코드,상권_코드_명,총_상주인구_수,연령대_10_상주인구_수,연령대_20_상주인구_수,연령대_30_상주인구_수,연령대_40_상주인구_수,연령대_50_상주인구_수,연령대_60_이상_상주인구_수,총_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,상권_변화_지표
20212,A,3110218,답십리사거리,2509,223,321,333,311,481,840,1072114,150674,121750,163312,165857,170176,300344,283810,208917,120214,123870,188311,146992,150065,148372,152408,148989,148482,160773,163025,4889738498,176924,3666400979,1223337519,644625526,680121833,750653560,748499929,842500131,928045680,295291839,21494,38478188,1740942583,635345360,2076031936,398918937,2768964004,1523679594,17656281,384637708,811779953,921178642,1230636078,926754939,LH
20212,A,3110219,삼육보건대학교,6955,573,2455,882,730,816,1499,1582165,199359,569616,197186,169937,173953,272115,531928,345714,153286,136850,195690,218695,226184,227770,226648,225783,219576,221772,234432,906723257,38355,654560537,252162720,121072545,113002040,129582992,135490103,155412857,132541992,119620728,20141452,7613720,114821562,76711988,461095420,226339115,567597395,288227417,8697024,251965936,179907577,136419879,193860869,84973526,LH
20212,A,3110220,외대앞역 1번,2003,144,602,260,239,277,481,1124256,157704,364065,135004,143868,129619,193999,248038,217392,146441,149904,218183,144297,161314,160513,161457,160939,161996,159984,158050,2788476924,263589,2008095284,780381640,369870938,395276535,381569241,412734028,448644542,430267878,350113762,9407133,111553455,655149691,448285714,1219604443,344476488,1490785599,1211223604,77873963,1156790836,485535044,388909622,456764413,136135329,HH
20212,A,3110221,의릉,1028,118,220,146,157,168,219,378244,63142,65205,47509,57512,45561,99315,100210,72824,42049,43041,66623,53495,52509,52037,52724,52037,52311,56950,59678,453060694,17338,290651276,162409418,29480012,59395338,65423842,55121027,81231057,84383516,78025902,1592362,8606063,79443568,48306003,202538638,112574060,285035671,148589360,2366880,75565779,95267166,107829603,107375319,45220285,HH
20212,A,3110222,회기역 2번,108,18,20,13,18,18,21,36355,4721,11588,4930,4210,4371,6535,5102,7891,5793,5922,7736,3911,5098,5170,5197,5133,5045,5478,5234,33000000,1275,22317027,10682973,4608642,7039413,1399549,4035103,5234320,5020865,5662108,0,460975,11825052,4042090,13796290,2875593,20232771,9566702,8396,3286405,3988597,6074253,7715628,8726194,HH
20212,A,3110223,군자초등학교,1640,155,257,269,215,306,438,367161,28111,58340,75868,60177,61266,83399,114126,81528,41182,37573,48199,44554,53633,53631,51926,53256,53044,51073,50598,74088348,2498,63574488,10513860,7125723,9298385,10154357,23549829,13446194,10513860,0,0,91161,38262218,2674046,30432458,2628465,48953261,9166784,0,0,23691712,8599486,19964179,5864668,HL
20212,A,3110224,외대앞역 2번,470,19,81,53,73,83,161,495248,65844,112880,70280,70811,68611,106823,95377,95895,63646,68800,106242,65288,70254,69932,69897,70427,70950,72578,71209,277444680,11992,213697758,63746922,41418564,40645764,40132813,44919343,46581274,42215351,21531571,0,3955303,65789831,25206227,126450721,56042598,170146493,80328848,1687338,53178434,48217249,46425446,65934390,35032484,HH
20212,A,3110225,촬영소사거리,1228,119,159,155,172,235,388,610276,76091,65335,102507,102372,99859,164113,144488,117817,77943,82879,113282,73865,85358,84183,85595,84789,85129,92327,92896,608307561,34623,470674909,137632652,90593559,93397725,89716402,98230594,98736629,88316022,49316630,4335018,13837244,198224006,53592199,249355656,88963438,389899984,135864902,1481763,38913322,73591939,132577014,149401752,129799104,HL
20212,A,3110226,장안1동주민센터,11209,1171,1511,1793,1786,2048,2900,2904728,286939,428216,567341,507292,462867,652072,758692,588177,336123,336113,495176,390447,413129,414731,415329,415535,414251,417019,414733,2884670339,141340,2089312869,795357470,394133897,397624503,417980956,409681111,469892402,430062913,365294557,26938972,66634401,628469366,329165639,1187076259,646385702,1630614901,931016697,16964774,350510061,509018206,631823854,659451938,393862752,LL
20212,A,3110227,답십리공원,820,102,127,96,123,165,207,523285,77719,60945,75336,86282,84881,138124,112912,104674,67482,71039,102304,64875,72975,72166,72999,72871,72886,79076,80313,215428114,16172,159287366,56140748,27135528,26700913,33927684,23303746,48219495,31794094,24346654,325331,15846222,77618715,37641027,64638415,19358404,110434412,77657196,2820975,25321190,36284058,40206677,55807052,27651655,HL
20212,A,3110228,장안근린공원,5530,590,768,689,773,987,1723,1737729,269193,203607,261910,276205,287040,439774,413449,341686,211602,218863,324730,227398,245243,242352,242990,242689,243735,258291,262430,1965769245,98488,1312036111,653733134,239361186,260352068,260796638,263130351,288395868,370347401,283385733,15940710,105237739,386938072,197009116,916661980,343981628,1284784417,559419269,14850336,193961324,267279016,408376343,520448485,439288176,HL
20212,A,3110229,장평중학교,7315,1121,814,1188,1237,1104,1851,1572470,203890,192199,304975,271487,233032,366888,421933,336749,192003,181941,241859,197985,230261,229072,226831,230053,230331,213369,212553,1375803795,48061,1089586935,286216860,228572708,201910359,175512647,250364212,233227009,195906228,90310632,8098439,25012731,416108824,111380248,563733192,251470361,741868891,361333911,2252462,104863655,209637488,275614678,321086002,189748517,HL
20212,A,3110230,장안현대홈타운1차아파트,3650,508,519,752,579,498,794,872936,131387,137266,178127,150329,117132,158694,231707,167131,99708,103712,155212,115465,121933,121107,122559,120709,121645,131682,133302,1371654598,32767,862133539,509521059,146156285,155168687,167546467,186269608,206992492,269464903,240056156,5963976,26501556,175324136,156986057,726485915,280392958,832593213,430270874,3703609,179328825,331516104,345420237,248993398,153901916,LL
20212,A,3110232,동대부고,3318,533,381,530,563,492,819,702800,150654,68342,113777,126605,98171,145251,181939,147174,86252,84285,113672,89480,101813,101070,101032,100658,101349,98262,98616,916007625,40683,674337752,241669873,116881473,133067697,130289382,142163794,151935406,134867882,106801991,1920976,9903473,319928901,137919116,367156472,79178687,481360545,270052218,846194,35440453,133927978,237945878,222490187,120762070,HL
20212,A,3110233,중랑역 1번,5225,457,790,739,640,1056,1543,1630652,162190,231881,236712,224193,301298,474378,483534,332558,165645,162941,260883,225091,228985,226824,230075,227085,228004,242256,247423,568642152,11525,369823217,198818935,74772450,55202517,71263039,83289554,85295657,100791211,98027724,229079,7558315,36809225,46333759,356391175,121320599,372222476,185861530,1339248,90915686,149743699,107494131,122429348,86161895,HL
